time,bnds,lat,plev,time_bnds,aps,tm1,O3
2019-07-01 08:00:00,0,82.31291,22.27,2018-02-14 00:24:00,100838.66,245.15771,9.782066e-07
2019-07-01 08:00:00,0,82.31291,28.14,2018-02-14 00:24:00,100838.66,249.87067,1.087899e-06
2019-07-01 08:00:00,0,82.31291,34.88,2018-02-14 00:24:00,100838.66,253.50963,1.2275339e-06
2019-07-01 08:00:00,0,82.31291,42.64,2018-02-14 00:24:00,100838.66,256.19604,1.4033423e-06
2019-07-01 08:00:00,0,82.31291,51.43,2018-02-14 00:24:00,100838.66,257.884,1.6166462e-06
2019-07-01 08:00:00,0,82.31291,61.28,2018-02-14 00:24:00,100838.66,258.48486,1.8699367e-06
2019-07-01 08:00:00,0,82.31291,72.21,2018-02-14 00:24:00,100838.66,258.64642,2.147294e-06
2019-07-01 08:00:00,0,82.31291,84.23,2018-02-14 00:24:00,100838.66,258.1521,2.447558e-06
2019-07-01 08:00:00,0,82.31291,97.45,2018-02-14 00:24:00,100838.66,257.1729,2.7604538e-06
2019-07-01 08:00:00,0,82.31291,112.0,2018-02-14 00:24:00,100838.66,255.72421,3.0850365e-06
2019-07-01 08:00:00,0,82.31291,127.99,2018-02-14 00:24:00,100838.66,254.08347,3.4083528e-06
2019-07-01 08:00:00,0,82.31291,145.59,2018-02-14 00:24:00,100838.66,252.37778,3.7247237e-06
2019-07-01 08:00:00,0,82.31291,164.95,2018-02-14 00:24:00,100838.66,250.42526,4.0415753e-06
2019-07-01 08:00:00,0,82.31291,186.24,2018-02-14 00:24:00,100838.66,248.53693,4.336267e-06
2019-07-01 08:00:00,0,82.31291,209.56,2018-02-14 00:24:00,100838.66,246.64313,4.60626e-06
2019-07-01 08:00:00,0,82.31291,234.97,2018-02-14 00:24:00,100838.66,244.82385,4.8372194e-06
2019-07-01 08:00:00,0,82.31291,262.66,2018-02-14 00:24:00,100838.66,243.08658,5.026155e-06
2019-07-01 08:00:00,0,82.31291,292.85,2018-02-14 00:24:00,100838.66,241.35052,5.1769493e-06
2019-07-01 08:00:00,0,82.31291,325.76,2018-02-14 00:24:00,100838.66,239.56662,5.2954674e-06
2019-07-01 08:00:00,0,82.31291,361.63,2018-02-14 00:24:00,100838.66,237.83357,5.37625e-06
2019-07-01 08:00:00,0,82.31291,400.73,2018-02-14 00:24:00,100838.66,236.02304,5.4319307e-06
2019-07-01 08:00:00,0,82.31291,443.34,2018-02-14 00:24:00,100838.66,234.18813,5.4627544e-06
2019-07-01 08:00:00,0,82.31291,489.79,2018-02-14 00:24:00,100838.66,232.36218,5.4712596e-06
2019-07-01 08:00:00,0,82.31291,540.42,2018-02-14 00:24:00,100838.66,230.5516,5.4568914e-06
2019-07-01 08:00:00,0,82.31291,595.45,2018-02-14 00:24:00,100838.66,228.79456,5.4280954e-06
2019-07-01 08:00:00,0,82.31291,655.07,2018-02-14 00:24:00,100838.66,227.17972,5.3806275e-06
2019-07-01 08:00:00,0,82.31291,719.68,2018-02-14 00:24:00,100838.66,225.68542,5.3185827e-06
2019-07-01 08:00:00,0,82.31291,789.69,2018-02-14 00:24:00,100838.66,224.33157,5.2403425e-06
2019-07-01 08:00:00,0,82.31291,865.56,2018-02-14 00:24:00,100838.66,223.14517,5.1480047e-06
2019-07-01 08:00:00,0,82.31291,947.77,2018-02-14 00:24:00,100838.66,222.07007,5.048691e-06
2019-07-01 08:00:00,0,82.31291,1036.87,2018-02-14 00:24:00,100838.66,221.09048,4.9469445e-06
